schule;stadt;bundesland;schulleitung;email;quelle;status
Theodor-Heuss-Realschule;Heidelberg;BW;Tanja Heßlein;info@thrs-heidelberg.de;thrs-heidelberg.de;verified
Integrierte Gesamtschule;Einbeck;NI;Sandra Friedrich;sekretariat@igs-einbeck.eu;igs-einbeck.de;verified
Löns-Realschule;Einbeck;NI;(Schulleitung);schulleitung@61128.nibis.de;karriere.niedersachsen.de;verified
Felix-Klein-Gymnasium;Göttingen;NI;Iris Bruse;fkg@fkg.goettingen.de;fkg-goettingen.de;verified
Roswitha-Gymnasium;Bad Gandersheim;NI;Kilian Müller;schulleiter.roswitha.gymnasium@t-online.de;roswitha-gymnasium.de;verified
Helfenstein-Gymnasium;Geislingen;BW;Tanja Keifert;sekretariat@hegy.de;hegy.de;verified
Hermann-Hesse-Realschule;Göppingen;BW;(Schulleitung);sekretariat@hhrs.gp.schule.bwl.de;hhrs-goeppingen.de;verified
Geschwister-Scholl-Realschule;Süßen;BW;Herr Hiller;schulleitung@schulverbund-suessen.schule.bwl.de;schulverbund.suessen.de;verified
Schubart-Realschule;Geislingen;BW;(Schulleitung);sekretariat@schubart-realschule.de;schubart-realschule.de;verified
Schiller-Realschule;Göppingen;BW;Ingo Lehmann;poststelle-rs@04112938.schule.bwl.de;schiller-rs-gp.de;verified
Comenius-Gesamtschule;Neuss;NW;Jochen Reif;100052@schule.nrw.de;comeniusgesamtschule.de;verified
Gesamtschule Norf;Neuss-Norf;NW;Herr Metten (komm.);198894@schule.nrw.de;ge-norf.de;verified
Alexander-von-Humboldt-Gymnasium;Neuss;NW;Sarah Gicklhorn;165165@schule.nrw.de;avhgneuss.de;verified
Friedrich-Schiller-Gymnasium;Pirna;SN;(Schulleitung);schillergym@pirna.de;schillergymnasium-pirna.de;verified
Gesamtschule an der Erft;Neuss;NW;(Schulleitung);191486@schule.nrw.de;ge-erft.de;verified
Rita-Süssmuth-Realschule (ehem. RS Holzheim);Neuss;NW;Sandra Klüser-Hanné;rs-holzheim@stadt.neuss.de;rita-suessmuth-realschule.de;verified
Johann-Gottfried-Herder-Gymnasium;Pirna-Copitz;SN;Anja Flügel;herdergym@pirna.de;herders.de;verified
Gesamtschule Nordstadt;Neuss;NW;Lorenz Gelius-Laudam;lorenz.gelius-laudam@geleo.de;geleo.de;verified
Daniel-Straub-Realschule;Geislingen;BW;(Schulleitung);schulleitung@04112914.schule.bwl.de;dsr-geislingen.de;verified
Internationale Gesamtschule;Heidelberg;BW;Dr. Roland Maier;schulleitung@igh-hd.de;igh-heidelberg.com;verified
Theodor-Heuss-Realschule;Walldorf;BW;Jens Albrecht;jens.albrecht@realschule-walldorf.de;realschule-walldorf.de;verified
Geschwister-Scholl-Schule;Einbeck;NI;Anja Sehlen;gss-einbeck@t-online.de;gss-einbeck.de;verified
Richard-Wagner-Gymnasium;Baden-Baden;BW;Jochen Flohn;jochen.flohn@baden-baden.de;rwg-baden-baden.de;verified
Gymnasium Hohenbaden;Baden-Baden;BW;Martin Müller;hoba@baden-baden.de;gymnasium-hohenbaden.de;verified
Markgraf-Ludwig-Gymnasium;Baden-Baden;BW;Marco Kuhn;kuhn@mlg-bad.de;mlg-bad.de;verified
Klosterschule vom Hl. Grab;Baden-Baden;BW;Dr. Tobias Vorbach;info@hl-grab.de;hl-grab.de;verified
Realschule Baden-Baden;Baden-Baden;BW;Nicole Demmler;realschule@baden-baden.de;realschule-baden-baden.de;verified
Elsenztalschule;Bammental;BW;Sascha Lieneweg;info@elsenztalschule.de;elsenztalschule.de;verified
Oberschule Bad Gottleuba;Bad Gottleuba-Berggießhübel;SN;Frau Kniola;os.sekretariat@stadt-bgb.de;oberschule-badgottleuba.de;verified
Ökowegschule;Weißenfels;ST;Herr Schupa;info@oekowegschule.de;oekowegschule.de;verified
Rainald-von-Dassel-Schule;Dassel;NI;(Schulleitung);kontakt@rvd-schule.de;rvd-schule.de;verified
Paul-Gerhardt-Schule;Dassel;NI;Wibke Gatsios;pgs.dassel@pgs-portal.de;pgs-dassel.de;verified
Marie-Curie-Oberschule;Dohna;SN;Katrin Ludwig;oberschule@stadt-dohna.de;os-dohna.de;verified
Oberschule Northeim (ehem. Gutenberg-RS);Northeim;NI;Herr Schult;h.schult@obs-northeim.de;oberschule-northeim.de;verified
Weperschule;Hardegsen;NI;(Schulleitung);sekretariat@weperschule.de;weperschule.de;verified
Oberschule Bad Gandersheim;Bad Gandersheim;NI;Frau Dröge;info@oberschule-gan.de;oberschule-gan.de;verified
Waldparkschule;Heidelberg;BW;Thilo Engelhardt;schulleitung@waldparkschule.de;waldparkschule.de;verified
Stephen-Hawking-Schule;Neckargemünd;BW;(Schulleitung);schule.shs@srh.de;stephenhawkingschule.de;verified
Realschule Neckargemünd;Neckargemünd;BW;Ulrich Falter (komm.);sekretariat.rs@verwaltung.sz-ngd.de;realschule-neckargemuend.de;verified
Kraichgauschule;Mühlhausen;BW;(Schulleitung);sekretariat@kraichgauschule-muehlhausen.de;kraichgauschule-muehlhausen.de;verified
Freie Waldorfschule Filstal;Göppingen;BW;(Schulleitung);info@waldorfschule-goeppingen.de;waldorfschule-goeppingen.de;verified
Justus-von-Liebig-Schule;Göppingen;BW;Valentin Hoefer;schulleitung@jvl-gp.schule.bwl.de;jvl-gp.de;verified
Beuditzschule;Weißenfels;ST;Waldemar Frühauf;kontakt@sks-beuditz.bildung-lsa.de;beuditzschule.com;verified
Oberschule J.W. von Goethe;Pirna;SN;N. Bergmann;osgoethe@pirna.de;osgoethepirna.de;verified
Robert-Schuman-Schule;Baden-Baden;BW;Jörg Rother;joerg.rother@baden-baden.de;rsb-baden.de;verified
Friedrich-Schiller-Gemeinschaftsschule;Eislingen;BW;Claudia Frey;schulleitung@04114078.schule.bwl.de;fsg-eislingen.de;verified
Gruseneckschule (GMS Helmstadt-Bargen);Helmstadt-Bargen;BW;(Schulleitung);schulleitung@04147722.schule.bwl.de;gruseneck.de;verified
Uhlandschule;Geislingen;BW;Gabriele Schröder;schulleitung@04114169.schule.bwl.de;uhlandschule-geislingen.de;verified
Pestalozzischule;Göppingen;BW;Margarete Kienzle;sekretariat@pestalozzischule.GP.schule.bwl.de;pes-gp.de;verified
Kaufmännische Schule;Geislingen;BW;(Schulleitung);info@ksgeislingen.de;ksgeislingen.de;verified
Heinrich-Schickhardt-Schule;Bad Boll;BW;(Schulleitung);schulleitung@04113967.schule.bwl.de;heinrich-schickhardt-schule.de;verified
Gemeinschaftsschule am Tegelberg;Geislingen;BW;(Schulleitung);sekretariat@tegelbergschule.de;tegelbergschule.de;verified
Pädagogium;Baden-Baden;BW;Patrick Krauss;info@paeda.net;paedagogium-baden-baden.de;verified
Johann-Georg-Fischer-Schule;Süßen;BW;Steffen Lonczig;jgf-sbbz@suessen.de;sbbz.suessen.de;verified
Berufsbildungszentrum Weingartstraße;Neuss;NW;(Schulleitung);post@berufskolleg-neuss.de;berufskolleg-neuss.de;verified
Albert-Schweitzer-Schule;Albershausen;BW;(Schulleitung);mail@ass-gp.de;ass-albershausen.de;verified
Freie Evangelische Schule;Weißenfels;ST;Herr Heffter;schulleitung@fesw.de;fesw.de;verified
Landsche Schule Eckwälden;Bad Boll;BW;(Schulleitung);info@landschule-eckwaelden.de;landschule-eckwaelden.de;verified
HPC Realschule (F+U);Heidelberg;BW;Eva Gamon;heidelberg@fuu.de;hpc-schulen.de;verified
Abendgymnasium der VHS;Heidelberg;BW;Dr. Sandra Walz;abendgymnasium@vhs-hd.de;vhs-hd.de;verified
Werkrealschule Lichtental;Baden-Baden;BW;(Schulleitung);werkrealschule.lichtental@baden-baden.de;wrslichtental.de;verified
Käthe-Kollwitz-Schule;Göttingen;NI;(Schulleitung);kks@goettingen.de;drk-goe-nom.de Liste;verified
Georg-Büchner-Gymnasium;Winnenden;BW;Stefanie Rolli;stefanie.rolli@gbg-winnenden.de;gbg-winnenden.de;verified
Gymnasium Essen-Werden;Essen;NW;Dominik Krister;post@gymnasium-essen-werden.de;gymnasium-essen-werden.de;verified
Theodor-Heuss-Schule (GWRS);Baden-Baden;BW;(Schulleitung);theodor-heuss-schule@baden-baden.de;theodor-heuss-schule-gwrs.de;verified
BBS II;Northeim;NI;Ines Puschmann;Ines.Puschmann@bbs2-northeim.de;bbs2-northeim.de;verified
Friedrich-Eugens-Gymnasium;Stuttgart;BW;Dr. Stefan Wilking;feg@stuttgart.de;feg-stuttgart.de;verified
Geschwister-Scholl-Schule;Heidelberg;BW;Stefan Hansen;schulleitung@gss-heidelberg.de;gss-heidelberg.de;verified
